方块ID,方块名称,预制文件名,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],变换颜色,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,prefab资源（用到prefab资源的方块填此字段）,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石，2=铜，3=铁，4=铝，5=钛，6=钴，7=钨）,随机颜色【地形生成树的时候会从三个颜色里等概率随机一个，以012的形式存于blockdata】,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1),是否按屏幕空间大小的方式裁剪(默认是1),破坏中的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,破坏后的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,挖掘附属特效（例如石头-火花）,可否被变向（0没有方向无法变向，1四向，2六、八向，3特殊处理）,自发光颜色,不透明度(0-255),"方块结构标识-0:可被推动、转动, 1:推动、转动碾碎, 2:不能推动、转动",里世界交互标识（0不可被交互，1可被交互）,PBR功能贴图,蓝图方块价值,替换绘制类型（BlockDrawType）,是否可活化,HDR自发光强度系数
820,书柜,,Bookcase,Bookcase,,,bookcase,3,4,4,,,,1,1,1,0,0,0,,,,,24,10,1,5,20,5,,820,10000,0,0,820,10000,,,,1,1,0,,1,bookcase,bookcase,,blocks.wood,blockd.wood,,820,1,1,,894e1c,,,,,4,,0,15,15,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,
821,木桩,,WoodPile,WoodPile,,,stake,3,4,4,,1,,1,1,3,0,0,0,,,,,25,6,1,0,,0,,821,10000,0,0,821,10000,,,,0,1,0,,1,wood_pile,wood_pile,,blocks.wood,blockd.wood,,821,1,1,,c1a661,,,,,,,6,15,15,,1,,,1,,,,,,,0,,17,0,1,,0.2,,,
822,草垛,,Haystack,Haystack,,,log,1,4,4,,,,1,1,1,0,0,0,,,,1,8,3,1,10,20,10,,822,10000,0,0,822,10000,,,,1,15,0,,1,hay_block,,,blocks.grass,blockd.grass,,822,1,1,,b9864b,,,,,4,,1,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.2,,1,
823,游戏版本过低,,,,,,basic,,,,,,,1,1,1,0,0,2,,,,,12,3,1,0,,0,,823,10000,0,0,823,10000,,,,1,15,0,,1,,,,blocks.cloth,blockd.cloth,,823,1,1,,,,,,,,,1,15,15,,1,,,1,,,,,,,0,,255,0,1,,0,,,
824,不完整工匠台,,RepairBench,RepairBench,,,crafting,,,,,,,1,1,1,2,1,2,,,,,60,24,1,0,,0,,824,10000,0,0,824,10000,,,,2,1,0,,1,coppercrafttable,coppercrafttable,,blocks.stone,blockd.stone,,824,2,1,,999ea8,,,,,,797,1,15,15,,1,,,10,3,,,,,,1,,17,0,1,,0,,1,2
825,符能提炼装置,,,,,,refinable,1,5,,,,,1,1,1,0,0,1,,,,,400,12,1,0,,0,,825,10000,0,0,825,10000,,,,1,1,0,,1,lianyaotai,,825,blocks.stone,blockd.stone,,825,2,1,,E6E6FA,,,,,,,1,15,15,,1,,,20,,,,,,,0,,17,0,1,,1,26,,
826,符文铭刻台,826,,,,,modbase,1,5,,,,,1,1,1,0,0,1,,,,,400,25,1,0,,0,,826,10000,0,0,826,10000,,,,1,1,0,,1,mingketai,,826,blocks.stone,blockd.stone,,826,2,1,,7B68EE,,,,,,,1,15,15,,1,,,20,,,,,,,0,,17,0,1,,1,26,,
828,简易睡袋,,SleepingBag,SleepingBag,,,sleepingbag,1,4,,,,,1,1,1,1,0,2,,,,,24,10,1,2,20,2,,828,10000,0,0,828,10000,,,,2,1,0,,1,sleepingbag2,sleepingbag2,,blocks.wood,blockd.wood,,828,1,1,,a29a1c,,,,,4,,0,15,15,,1,,1,1,3,,,,,,0,,17,1,0,,0.5,,1,
829,魔药台,,PotionLab,PotionLab,,,basic,,,,,,,1,1,1,0,0,2,,,,,24,10,1,0,,0,,829,10000,0,0,0,0,,,,0,1,1,,1,,,,blocks.stone,blockd.stone,,829,2,1,,,,,,,4,,1,15,0,,1,,,1,,,,,,,0,,17,0,1,,0,,1,
830,烤肉披萨,,BBQPizza,BBQPizza,,,cake,1,4,,,,,1,1,1,0,3,0,,,,,3,3,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,cake3,cake,,blocks.cloth,blockd.cloth,,830,0,1,,ebcdb4,,,,,,,0,15,15,,1,,,,3,,,,,,0,,17,0,1,,1,,,
831,蔬果披萨,,FruitPizza,FruitPizza,,,cake,1,4,,,,,1,1,1,0,3,0,,,,,3,3,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,cake,cake,,blocks.cloth,blockd.cloth,,831,0,1,,e3a054,,,,,,,0,15,15,,1,,,,3,,,,,,0,,17,0,1,,1,,,
832,神秘箱,,MysteryBox,MysteryBox,,,basic,,,,,,,1,1,1,0,0,2,,,,,500,200,1,0,,0,,0,0,0,0,0,0,,,,2,15,0,,1,,,,blocks.wood,blockd.wood,,832,2,1,,,,,,,4,,1,15,15,,1,,,999,,,,,,,0,,255,0,1,,0,,1,
833,不完整工匠台,,Toolbox,Toolbox,,,crafting,,,,,,,1,1,1,2,0,2,,,,,100,30,1,0,,0,,833,10000,0,0,833,10000,,,,2,1,0,,1,ironcrafttable,ironcrafttable,,blocks.stone,blockd.stone,,833,2,1,,c4a2eb,,,,,,,1,15,15,,1,,,10,3,,,,,,1,,17,0,1,,0,,1,2
834,炸药桶,,Bomb,Bomb,,,bangalore,,4,,,,,1,1,1,0,0,0,,,,,1,0,1,3,100,3,,834,10000,0,0,834,10000,,,,2,1,0,,1,tnt,tnt,,blocks.stone,blockd.stone,,834,0,1,,e0a80d,,,,,1,,0,15,15,,1,,,,,,,,,,0,,17,0,1,,0,,,
835,备用,,,,,,bangalore,,,,,,,1,1,1,0,0,0,,,,,1,0,1,3,100,3,,835,10000,0,0,835,10000,,,,2,1,0,,1,tnt1,tnt,,blocks.stone,blockd.stone,,835,0,1,,,,,,,1,,0,15,15,,1,,,,,,,,,,0,,17,2,0,,0,,,
836,物理清除烟花,,Physical-propertiesEraseFirework,Physical-propertiesEraseFirework,,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,yanhua6,,,,,,,0,1,,,,,,,1,,0,15,15,,1,,,,1,,,,,,0,,0,2,1,,0,,,
837,荧光小菇,,Mycenachlorophos,Mycenachlorophos,,,lightmushroom,,,,,,,1,0,0,1,3,0,,,,,0,0,1,10,100,10,,837,10000,,,837,10000,,,,0,1,6,,1,mycenachlorophos,mycenachlorophos,,,blockd.grass,,837,0,1,,00008B,,,1,,,,0,15,15,,1,,,,2,,,,,,0,1bb1f0,17,1,0,,0.2,,,2
838,新荧光小菇,,Mycenachlorophos,Mycenachlorophos,,,lightmushroomfixed,,,,,,,1,0,0,1,3,0,,,,,0,0,1,10,100,10,,837,10000,,,837,10000,,,,0,1,6,,1,mycenachlorophos,mycenachlorophos,,,blockd.grass,,837,0,1,,00008B,,,1,,,,0,15,15,,1,,,,2,,,,,,0,1bb1f0,17,1,0,,0.2,,,2
839,收集传输器,,TransferFunnel,TransferFunnel,,,funnel,,,,,,,1,1,1,2,0,1,,,,,24,12,1,0,,0,,839,10000,0,0,839,10000,,,,0,1,0,,1,funnel,,,blocks.stone,blockd.stone,,839,2,1,,f8c8a8,,0,,,4,,1,15,15,,1,,,10,,,,,,,0,,17,2,0,,1,,,
840,机械臂部件,,R-ArmUnit,R-ArmUnit,,,pistonexten,,,,,,,1,1,1,2,0,2,,,,,24,10,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,hyd_arm_on,,,blocks.stone,blockd.stone,,0,0,,,b99871,,,,,1,,1,15,15,,1,,,,,,,,,,0,,17,2,0,,0,,,
841,移动的机械臂,,MovingR-ArmUnit,MovingR-ArmUnit,,,pistonmoving,,,,,,,1,1,1,2,0,2,,,,,24,-1,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,piston_top_normal,,,blocks.stone,blockd.stone,,0,0,,,b99871,,,,,1,,1,15,15,,1,,,,,,,,,,0,,17,2,0,,0,,,
842,铸铁弹簧,,MithsilverSpring,MithsilverSpring,,,spring,1,5,,,,,1,1,1,2,0,2,,,,,24,10,1,0,,0,,842,10000,0,0,842,10000,,,,2,1,0,,1,spring_mithsilver,,,blocks.stone,blockd.stone,,842,2,1,,4f515a,,,,,4,,1,15,15,,1,,,1,3,,,,,,2,,17,2,0,,1,,,2
843,弹簧部件,,SpringUnit,SpringUnit,,,springexten,,,,,,,1,1,1,2,0,2,,,,,24,10,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,,,,blocks.stone,blockd.stone,,,,,,4f515a,,,,,1,,1,15,15,,1,,,,3,,,,,,0,,17,2,0,,0,,,
844,炽炎弹簧,,FlameCrystalSpring,FlameCrystalSpring,,,spring,1,5,,,,,1,1,1,2,0,2,,,,,24,10,1,0,,0,,844,10000,0,0,844,10000,,,,2,1,0,,1,spring_flamecrystal,,,blocks.stone,blockd.stone,,844,2,1,,caaa13,,,,,4,,1,15,15,,1,,,1,3,,,,,,2,,17,2,0,,1,,,2
845,保险箱,,Safe,Safe,,,lockchest,,,,,,,1,1,1,2,0,2,,,,,-1,50,1,0,,0,,845,10000,,,845,10000,,,,2,1,0,,1,lockbox1,,,blocks.stone,blockd.stone,,845,2,1,,cd9147,,,,,33,,1,15,15,,1,,,10,3,,,,,,0,,17,2,0,,0,,,
846,超级保险箱,,SuperSafe,SuperSafe,,,lockchest,,,,,,,1,1,1,2,0,2,,,,,-1,50,1,0,,0,,846,10000,,,846,10000,,,,2,1,0,,1,lockbox2,,,blocks.stone,blockd.stone,,846,2,1,,cd9147,,,,,33,,1,15,15,,1,,,10,3,,,,,,0,,17,2,0,,0,,,
847,圣诞礼盒,,ChristmasGiftBox,ChristmasGiftBox,,,chrismasbox,1,4,,,,,1,1,1,2,0,2,,,,,0,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,chrismas_box,chrismas_box,,blocks.wood,blockd.wood,,847,1,1,,,,,,,33,,0,15,15,,1,,,1,3,,,,,,0,,17,2,0,,0,,,
848,孔明灯,,SkyLanterns,SkyLanterns,,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,kongming_lamp,kongming_lamp,,,,,,0,1,,,,,,,33,,1,15,15,,1,,,,3,,,,,,0,,0,2,1,,0,,,2
849,禁怪烟花,,Repeller,Repeller,,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,yanhua5,,,,,,,0,1,,,,,,,33,,0,15,15,,1,,,,1,,,,,,0,,0,2,1,,0,,,
850,星星烟花（小）,,StarFireworks(SM),StarFireworks(SM),,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,yanhua1,,,,,,,0,1,,,,,,,33,,0,15,15,,1,,,,1,,,,,,0,,0,2,1,,0,,,
851,星星烟花（大）,,Starfireworks(L),Starfireworks(L),,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,yanhua2,,,,,,,0,1,,,,,,,33,,0,15,15,,1,,,,1,,,,,,0,,0,2,1,,0,,,
852,晴雨烟花,,Climater,Climater,,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,yanhua3,,,,,,,0,1,,,,,,,33,,0,15,15,,1,,,,1,,,,,,0,,0,2,1,,0,,,
853,昼夜烟花,,Illuminater,Illuminater,,,firework,,,,,,,1,1,1,2,0,0,,,,,100,25,1,0,,0,,,,,,,,,,,,,,,1,yanhua4,,,,,,,0,1,,,,,,,33,,0,15,15,,1,,,,1,,,,,,0,,0,2,1,,0,,,
854,落日橙门,,RedOrangeDoor,RedOrangeDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,30,12,1,1,20,1,,854,10000,0,0,854,10000,,,,0,1,0,,2,door_phoebe,,,blocks.wood,blockd.wood,,854,1,1,,653931,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
855,深栗红门,,DeepRedDoor,DeepRedDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,30,12,1,1,20,1,,855,10000,0,0,855,10000,,,,0,1,0,,2,door_walnut,,,blocks.wood,blockd.wood,,855,1,1,,31231d,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
856,象牙白门,,WhiteDoor,WhiteDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,30,12,1,1,20,1,,856,10000,0,0,856,10000,,,,0,1,0,,2,door_birch,,,blocks.wood,blockd.wood,,856,1,1,,caaaaf,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
857,炽炎门,,FlameCrystalDoor,FlameCrystalDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,70,30,1,0,,1,,857,10000,0,0,857,10000,,,,0,1,0,,2,door_gold,,,blocks.wood,blockd.wood,,857,2,1,,84772a,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
858,海棠红门,,LightRedDoor,LightRedDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,30,12,1,2,20,2,,858,10000,0,0,858,10000,,,,0,1,0,,2,door_redwood,,,blocks.wood,blockd.wood,,858,1,1,,7b3528,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
859,琥珀黄门,,FruitwoodDoor,FruitwoodDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,30,12,1,2,20,2,,859,10000,0,0,859,10000,,,,0,1,0,,2,door_fruittree,,,blocks.wood,blockd.wood,,859,1,1,,5a392d,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
860,秋叶橙木门,,YellowOrangeDoor,YellowOrangeDoor,,,door,3,4,,,,,1,1,1,1,3,2,,,,,30,12,1,1,20,1,,860,10000,0,0,860,10000,,,,0,1,0,,2,door_cathaya,,,blocks.wood,blockd.wood,,860,1,1,,774a30,,,,,4,,3,15,15,,1,,1,2,,,,,,,0,,17,1,0,,2,,,
861,木纹灯,,WoodGrainLamp,WoodGrainLamp,,,emissive_breath,3,4,4,,,,1,1,1,0,0,0,,,,1,4,3,1,0,,0,,861,10000,0,0,861,10000,,,,1,1,15,,1,glowstone_lamp_wood,,,blocks.stone,blockd.glass,blockd.stone,861,2,1,,e8db7d,,,,,,,1,15,0,,1,,,1,,,,,,,0,cbc396,17,0,1,,2,,1,2
862,象牙白玻璃灯,,WhiteGlassLamp,WhiteGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,0.6,1,0,,0,,862,10000,0,0,862,10000,,,,3,1,15,,1,glass_lamp_white,,,blocks.stone,blockd.glass,blockd.stone,862,2,1,,e8db7d,,,1,,,,1,8,0,,6,,,1,,,,,,,0,b9b095,17,0,1,,2,,1,2
863,朱砂橙玻璃灯,,OrangeGlassLamp,OrangeGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,863,10000,0,0,863,10000,,,,3,1,15,,1,glass_lamp_orange,,,blocks.stone,blockd.glass,blockd.stone,863,0,1,,e09d3c,,,1,,,,1,8,0,,6,,,,,,,,,,0,a49988,17,0,1,,2,,1,2
864,胭脂红玻璃灯,,RedPurpleGlassLamp,RedPurpleGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,864,10000,0,0,864,10000,,,,3,1,15,,1,glass_lamp_magenta,,,blocks.stone,blockd.glass,blockd.stone,864,0,1,,eb3991,,,1,,,,1,8,0,,6,,,,,,,,,,0,a78a98,17,0,1,,2,,1,2
865,天青蓝玻璃灯,,LightBlueGlassLamp,LightBlueGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,865,10000,0,0,865,10000,,,,3,1,15,,1,glass_lamp_lightblue,,,blocks.stone,blockd.glass,blockd.stone,865,0,1,,1ed9e0,,,1,,,,1,8,0,,6,,,,,,,,,,0,8ea9a6,17,0,1,,2,,1,2
866,鹅毛黄玻璃灯,,YellowGlassLamp,YellowGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,866,10000,0,0,866,10000,,,,3,1,15,,1,glass_lamp_yellow,,,blocks.stone,blockd.glass,blockd.stone,866,0,1,,fcfb34,,,1,,,,1,8,0,,1,,,,,,,,,,0,939185,17,0,1,,2,,1,2
867,松花绿玻璃灯,,LightGreenGlassLamp,LightGreenGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,867,10000,0,0,867,10000,,,,3,1,15,,1,glass_lamp_lightgreen,,,blocks.stone,blockd.glass,blockd.stone,867,0,1,,afe208,,,1,,,,1,8,0,,1,,,,,,,,,,0,869c7b,17,0,1,,2,,1,2
868,海棠红玻璃灯,,LightRedGlassLamp,LightRedGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,868,10000,0,0,868,10000,,,,3,1,15,,1,glass_lamp_pink,,,blocks.stone,blockd.glass,blockd.stone,868,0,1,,e6b3de,,,1,,,,1,8,0,,1,,,,,,,,,,0,9e8185,17,0,1,,2,,1,2
869,苍石灰玻璃灯,,GreyGlassLamp,GreyGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,869,10000,0,0,869,10000,,,,3,1,15,,1,glass_lamp_gray,,,blocks.stone,blockd.glass,blockd.stone,869,0,1,,bba6a0,,,1,,,,1,8,0,,1,,,,,,,,,,0,747474,17,0,1,,2,,1,2
870,浅苍灰玻璃灯,,LightGreyGlassLamp,LightGreyGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,870,10000,0,0,870,10000,,,,3,1,15,,1,glass_lamp_lightgray,,,blocks.stone,blockd.glass,blockd.stone,870,0,1,,e0d4d3,,,1,,,,1,8,0,,1,,,,,,,,,,0,969696,17,0,1,,2,,1,2
871,青碧绿玻璃灯,,BlueGreenGlassLamp,BlueGreenGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,871,10000,0,0,871,10000,,,,3,1,15,,1,glass_lamp_cyan,,,blocks.stone,blockd.glass,blockd.stone,871,0,1,,5ae3da,,,1,,,,1,8,0,,1,,,,,,,,,,0,90afa9,17,0,1,,2,,1,2
872,青莲紫玻璃灯,,PurpleGlassLamp,PurpleGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,872,10000,0,0,872,10000,,,,3,1,15,,1,glass_lamp_purple,,,blocks.stone,blockd.glass,blockd.stone,872,0,1,,ea70dc,,,1,,,,1,8,0,,1,,,,,,,,,,0,90748f,17,0,1,,2,,1,2
873,宝石蓝玻璃灯,,BlueGlassLamp,BlueGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,873,10000,0,0,873,10000,,,,3,1,15,,1,glass_lamp_blue,,,blocks.stone,blockd.glass,blockd.stone,873,0,1,,6786d9,,,1,,,,1,8,0,,1,,,,,,,,,,0,949ab7,17,0,1,,2,,1,2
874,深栗红玻璃灯,,DeepRedGlassLamp,DeepRedGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,874,10000,0,0,874,10000,,,,3,1,15,,1,glass_lamp_brown,,,blocks.stone,blockd.glass,blockd.stone,874,0,1,,84684c,,,1,,,,1,8,0,,1,,,,,,,,,,0,b6a098,17,0,1,,2,,1,2
875,翡翠绿玻璃灯,,GreenGlassLamp,GreenGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,875,10000,0,0,875,10000,,,,3,1,15,,1,glass_lamp_green,,,blocks.stone,blockd.glass,blockd.stone,875,0,1,,40c15f,,,1,,,,1,8,0,,1,,,,,,,,,,0,9db5a7,17,0,1,,2,,1,2
876,赫赤红玻璃灯,,RedGlassLamp,RedGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,8,0.6,1,0,,0,,876,10000,0,0,876,10000,,,,3,1,15,,1,glass_lamp_red,,,blocks.stone,blockd.glass,blockd.stone,876,0,1,,ec3d39,,,1,,,,1,8,0,,1,,,,,,,,,,0,9c746f,17,0,1,,2,,1,2
877,煤乌黑玻璃灯,,BlackGlassLamp,BlackGlassLamp,,,glass,2,4,4,,,,1,1,1,0,0,0,,,,1,4,1.2,1,0,,0,,877,10000,0,0,877,10000,,,,3,1,15,,1,glass_lamp_black,,,blocks.stone,blockd.glass,blockd.stone,877,0,1,,0c0b0b,,,1,,,,1,8,0,,1,,,,,,,,,,0,646464,17,0,1,,2,,1,2
878,沙发测试,,SofaTest,SofaTest,,,basic,,,,,,,1,1,1,0,0,2,,,,,30,10,1,0,,0,,878,10000,0,0,878,10000,,,,2,1,0,,1,shafa,,,blocks.wood,blockd.wood,,878,1,1,,,,,,,1,,0,15,15,,1,,,1,,,,,,,0,,17,0,1,,0,,1,
879,圣诞铃铛,,ChristmasBell,ChristmasBell,,,lamp,3,4,4,,,,1,1,1,1,0,0,,,,,4,0,1,0,,0,,879,10000,0,0,879,10000,,,,2,1,0,,1,chrismas_tree,chrismas_bell,,blocks.wood,blockd.wood,,879,1,1,,c7930b,,,,,4,,0,15,15,,1,,,1,3,,,,,,0,,17,1,1,,2,1,,
880,圣诞条带,,ChristmasRibbon,ChristmasRibbon,,,lamp,3,4,4,,,,1,1,1,1,0,0,,,,,4,0,1,0,,0,,880,10000,0,0,880,10000,,,,2,1,0,,1,chrismas_tree,chrismas_bell2,,blocks.wood,blockd.wood,,880,1,1,,a30000,,,,,4,,0,15,15,,1,,,1,3,,,,,,0,,17,1,1,,2,1,,
881,喷花烟花,,Fireworks(On),Fireworks(On),,,sparkler,,4,,,,,1,0,0,1,3,1,,,,,0,0,1,0,,0,,881,10000,0,0,881,10000,,,,0,1,0,,1,fireworks_1,fireworks_1,,blocks.wood,blockd.wood,,881,1,1,,a6473a,,,,,,,0,15,15,,1,,,1,3,,,,,,0,,17,1,0,,2,,,
882,喷花烟花（开）,,Fireworks(On)1,Fireworks(On)1,,,sparkler,,4,,,,,1,0,0,1,3,1,,,,,0,0,1,0,,0,,881,10000,0,0,881,10000,,,,0,1,15,,1,fireworks_1,fireworks_1,,blocks.wood,blockd.wood,,881,1,1,,a6473a,,,,,,881,0,15,0,,1,,,1,3,,,,,,0,dadabe,17,1,0,,0,,,
883,精致木床,,WoodenBed,WoodenBed,,,bed,3,4,,,,,1,1,1,1,0,2,,,,,30,10,1,2,20,2,,883,10000,0,0,883,10000,,,,2,1,0,,1,bed1,bed1,,blocks.wood,blockd.wood,,883,1,1,,e59d87,,,,,4,,0,15,15,,1,,1,1,3,,,,,,0,,17,1,0,,2,,1,
884,豪华木床,,LuxuryBed,LuxuryBed,,,bed,3,4,,,,,1,1,1,1,0,2,,,,,30,10,1,2,20,2,,884,10000,0,0,884,10000,,,,2,1,0,,1,bed2,bed2,,blocks.wood,blockd.wood,,884,1,1,,ea750d,,,,,4,,0,15,15,,1,,1,1,3,,,,,,0,,17,1,0,,2,26,1,2
885,公主床,,RoyalBed,RoyalBed,,,bed,3,4,,,,,1,1,1,1,0,2,,,,,30,10,1,2,20,2,,885,10000,0,0,885,10000,,,,2,1,0,,1,bed3,bed3,,blocks.wood,blockd.wood,,885,1,1,,efd1d4,,,,,4,,0,15,15,,1,,1,1,3,,,,,,0,,17,1,0,,2,,1,
886,铸铁星能幕布,,MithsilverStarenergyBoard,MithsilverStarenergyBoard,,,notice,1,4,,,,,1,0,1,2,3,2,,,,,25,6,1,0,,2,,886,10000,0,0,886,10000,,,,2,1,0,,1,notice_mithsilver,,,,blockd.stone,,886,2,1,,c1b7bd,,,,,16,,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,2,,,2
887,铸铁星能幕布（贴墙）,,,,,,notice,,,,,,,1,0,1,2,3,2,,,,,25,6,1,0,,0,,886,10000,0,0,886,10000,,,,2,1,0,,1,notice_mithsilver,,,,blockd.stone,,886,2,1,,c1b7bd,,,,,4,886,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,0,,,2
888,钛金星能幕布,,TitaniumStarenergyBoard,TitaniumStarenergyBoard,,,notice,1,4,,,,,1,0,1,2,3,2,,,,,15,5,1,0,,0,,888,10000,0,0,888,10000,,,,2,1,0,,1,notice_titanium,,,,blockd.stone,,888,2,1,,efbb00,,,,,16,,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,2,,,2
889,钛金星能幕布（贴墙）,,,,,,notice,,,,,,,1,0,1,2,3,2,,,,,15,5,1,0,,0,,888,10000,0,0,888,10000,,,,2,1,0,,1,notice_titanium,,,,blockd.stone,,888,2,1,,efbb00,,,,,4,888,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,0,,,2
890,熔岩星能幕布,,LavaStarenergyBoard,LavaStarenergyBoard,,,notice,1,4,,,,,1,0,1,2,3,2,,,,,10,5,1,0,,0,,890,10000,0,0,890,10000,,,,2,1,0,,1,notice_lava,,,,blockd.stone,,890,2,1,,b84b22,,,,,16,,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,2,,,2
