id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
15057,投射物-混乱召唤球,,DragonChaosBallProjectile,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15058,投射物-小外星人A,,Projectile-AllienA,,,,,,15058,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15059,投射物-小外星人B,,Projectile-AllienB,,,,,,15059,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15060,投射物-小外星人C,,Projectile-AllienC,,,,,,15060,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[300],,,,,,,,,,,
15061,投射物-萌眼叮叮,,Projectile-Rocki,,,,,,15061,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15062,投射物-萌眼咚咚,,Projectile-Frosti,,,,,,15062,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[301],,,,,,,,,,,
15063,投射物-萌眼当当,,Projectile-Bulli,,,,,,15063,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[302],,,,,,,,,,,
15064,投射物-萌眼叮咚,,Projectile-Frocki,,,,,,15064,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[303],,,,,,,,,,,
15065,投射物-萌眼叮当,,Projectile-Roclli,,,,,,15065,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[304],,,,,,,,,,,
15066,投射物-萌眼咚当,,Projectile-Froslli,,,,,,15066,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[305],,,,,,,,,,,
15067,投射物-萌眼咻咻,,Projectile-Graviti,,,,,,15067,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15068,投射物-混乱弓手,,Projectile-ChaosArcher,,,,,,15051,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3131,1,,,,0.7,0.7,,200,64,0,5,,,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15069,投射物-远程守卫,,,,,,,,,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12282,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
15070,投射物-远程守卫,,,,,,,,,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12002,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
15071,投射物-远程守卫,,,,,,,,,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12050,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
15072,投射物-年兽boss,,,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15073,投射物-沙球,,,,,,,,15073,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,沙子做成的投掷物，威力十足。,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,[337],,,,,,,,,,,
15074,投射物-沙矛,,,,,,,,15074,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,沙子做成的长矛，丝毫不逊色于真的长矛。,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
15075,投射物-骆驼口水,,,,,,,,15075,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,闻起来臭臭的，侮辱性极强。,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,[332],,,,,,,,,,,
15076,投射物-实心铁弹,,,,,,,,15061,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,,1,,,,0.7,0.7,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
15077,超级直球,,,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
15078,蘑晶球,15078,MushCrystalBall,,,,2,12,15078,,,,,,,,,-1,,,,,,,4,2,8,2,[21],61,250,测试,,,100001,可投掷的捕捉球。扔出后击中目标生物即可将其收入球中，再次点击地面可将其放出。,,icon15078,1,,,,0.6,0.6,0.4,200,64,1,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,32,,,,,
15079,迷糊粉瓶,15079,ConfusionVial,,,,,,15079,,,,,,,,,-1,,,,,,,,,,,,,,测试,,,100006,装满菌种粉末的瓶子。扔向生物后可使其暂时陷入#c0aba1d迷糊状态#n，原地打转找不着方向。#r#c0aba1d需要小心使用，以免自己也中招#n,,icon15079,1,,,,0.6,0.6,0.5,200,64,1,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15080,独角,15080,UnicornHorn,,,,2,10,15080,,,,,,,,,-1,,,,,,,,2,3,2,[21],61,250,测试,,,100001,从蘑角兽身上掉落的锋利独角，质地坚硬，可用来锻造高级装备。,,icon15080,1,,,,0.6,0.6,,200,64,1,5,,,,,,,,,,,,,,,,,,32,,,,,
15081,凝胶,,Gel,34,,,3,7,15081,,,,,,,,,-1,,,,,,,,4,2,3,[34],61,250,测试,,,100001,半透明的粘稠凝胶，触感冰凉。是合成@item_15082#和@item_12326#的材料,,icon15081,1,,,,0.6,0.6,0.5,200,64,1,5,,,,,,,,,,,,,,,,,,34,,,,,
15082,星尘箭,,StardustArrow,35,,,2,12,15082,,,,,,,,,-1,,,,,,,4,2,8,2,[24],65,420,测试,,,100006,箭身上附着点点星尘，命中目标后会绽放出耀眼的星光。需要@item_11778#发射。,,icon15082,1,,,,0.7,0.7,,200,64,0,5,,9,,,ShootArrow_Auto,,,,,,,,,,,,,35,,,,official_Weapon.Ammunition.Arrow,
15500,平底锅,,Pan,,,,,8,15500,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,这家伙可不是闹着玩的。,,icon15500,1,,,,0.9,0.9,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
15501,冲锋枪子弹,,SubmachineGunBullet,,,,,,15003,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,需要用冲锋枪发射,,icon15501,1,,,,,,,200,64,0,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15502,牛仔左轮子弹,,RevolverBullet,,,,,,15003,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,需要用牛仔左轮发射,,icon15502,1,,,,,,,200,64,0,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15503,狙击枪子弹,,SniperBullet,,,,,,15003,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,需要用狙击枪发射,,icon15503,1,,,,,,,200,64,0,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15504,重机枪子弹,,MachineGunBullet,,,,,,15003,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,需要用重机枪发射,,icon15504,1,,,,,,,200,64,0,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15505,虚空巨石,,,,,,,,15505,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon15508,1,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
15506,圆球爆弹,,Roundbomb,35,2,,2,12,15061,,,,,,,,,-1,20132,5,137,10000,90,5,4,,8,2,[24],99,9250,测试,,100101,100006,扔出#c0aba1d短暂延迟#n后发生爆炸。,,icon15506,1,,,,0.2,0.15,0.6,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,35,,,,,
15507,冰锥,,FrostyDarts,35,2,,2,12,15062,,,,,,,,,-1,20133,5,138,10000,90,6,4,,8,2,[24],99,9250,测试,,100101,100006,对目标位置#c0aba1d蓄力#n后扔出，若命中生物，可使其#c0aba1d移动速度降低#n；若命中方块，可生成自然冰。,,icon15507,1,,,,0.5,0.35,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[307],,,,,,35,,,,,
15508,熔岩球,,LavaBall,35,2,,2,12,15063,,,,,,,,,-1,20134,5,139,10000,90,3,4,,8,2,[24],99,9250,测试,,100101,100006,对目标位置#c0aba1d蓄力#n后扔出，若命中生物，可将其#c0aba1d击飞#n，并进入灼烧状态。,,icon15508,1,,,,0.5,0.35,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[308],,,,,,35,,,,,
15509,萌眼星BOSS-击飞激光,,HorasBoss-KnockbackLaser,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon15508,1,,,,,,,200,1,0,5,,,,,,,,,,,,"[200,311]",,,,,,,,,,,
15510,萌眼星BOSS-冰冻激光,,HorasBoss-FrostLaser,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,测试,,,,,,icon15507,1,,,,,,,200,1,0,5,,,,,,,,,,,,"[200,311]",,,,,,,,,,,
15511,萌眼星BOSS-爆炸激光,,HorasBoss-BlastLaser,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,测试,,,,,,icon15506,1,,,,,,,200,1,0,5,,,,,,,,,,,,"[200,311]",,,,,,,,,,,
15512,萌眼星BOSS-岩石海啸,,HorasBoss-StoneTsunami,,,,,,15512,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,,,,,,,,,,,,
15513,萌眼星BOSS-蓝色手臂技能,,HorasBoss-SkillBlueArms,,,,,,15513,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,,,,,,,,,,,,
15514,萌眼星BOSS-白色手臂技能,,HorasBoss-SkillWhiteArms,,,,,,15061,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,,,,,,,,,,,,
15515,萌眼星BOSS精英怪-蓝色投掷,,HorasElitemobs-ProjectionBlue,,,,,,15059,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,,,,,,,,,,,,
15516,萌眼星BOSS精英怪-白色投掷,,HorasElitemobs-ProjectionWhite,,,,,,15058,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,,,,,,,,,,,,
15517,萌眼星BOSS精英怪-蓝色技能,,HorasElitemobs-SkillBlue,,,,,,15062,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,[307],,,,,,,,,,,
15518,萌眼星BOSS精英怪-白色技能,,HorasElitemobs-SkillWhite,,,,,,15061,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12829,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,,,,,,,,,,,,,,,,,,,
15519,黑龙熔岩球,,BlackDragonLavaball,35,2,,2,12,15519,,,,,,,,,-1,20136,5,141,10000,90,9,4,,8,2,[24],99,9250,测试,,100101,100006,对目标位置扔出后，若命中方块，可生成#c0aba1d岩浆#n。,,icon15519,1,,,,0.5,0.4,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[313],,,,,,35,,,,,
15520,混乱召唤球,,BlackDragonChaosball,35,2,,2,12,15520,,,,,,,,,-1,20137,5,142,10000,90,12,4,,8,2,[24],99,9250,测试,,100101,100006,对目标位置扔出后，可召唤一只#c0aba1d混乱弓手#n，拥有分裂箭技能。,,icon15520,1,,,,0.5,0.4,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,[314],,,,,,35,,,,,
15521,摄像机,,,,,,,,,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,,,,,,0.5,0.5,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
15522,长方体,,,,,,,,15522,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15523,胶囊体（竖）,,,,,,,,15523,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15524,球体,,,,,,,,15524,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15525,中心长方体,,,,,,,,15525,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15526,胶囊体（横）,,,,,,,,15526,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15527,胶囊体（直）,,,,,,,,15527,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15528,物理清除烟花,,Physical-propertiesEraseFirework1,42,,,2,10,,,,,0,2,,,,-1,,,,,,,,,2,2,[21],19,350,测试,,,100001,使用后，向天空发射绚丽的烟花，清除视野范围内所有具有#c0aba1d物理特性#n的道具。#r需要提取到存档中使用。,,icon15528,,,,,0.9,0.9,,200,64,1,5,,3,Firework_OnUse,,Firework_Create,,,,1,,,,,,,,,42,,,,,
15529,物理清除枪,,Physical-propertiesEraseGun,32,,,2,8,15529,,,,,,,,,-1,,,,,,,4,2,10,2,[21],9,430,机械,,,100023,发射能量子弹，可以#c0aba1d将击中的物理物体清除#n。#rPS：不需要消耗弹药。,,icon15529,1,,,,0.7,0.5,,200,1,0,5,,8,,,,,,,,,,,,,,,,32,,1,,,
15530,物理清除弹,,Wheel1,,,,,12,12588,,,,,,,,,-1,,,,,,,,,8,,,3,3,机械,,,100023,击中物理物体后将其清除。,,icon12588,1,,,,1,0.8,,200,64,0,5,,9,,,,,,,,,,[115],,,,,,,,,,,
15531,车身方块,,,,,,,,15531,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15532,车轮,,,,,,,,15530,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15533,转向轴承,,,,,,,,15533,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15534,引擎,,,,,,,,15534,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15535,驾驶座,,,,,,,,15535,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15536,右前车轮,,,,,,,,15535,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15537,左后车轮,,,,,,,,15535,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15538,右后车轮,,,,,,,,15535,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,,,icon12248,1,,,,0.5,0.5,,200,64,0,5,,9,SnowBall_OnUse,,ShootProjectile_Auto,,,,1,,350,,,,,,,,,,,,
15539,投射物-蜘蛛,,,,,,,,15051,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3105,1,,,,0.7,0.7,,200,64,0,5,,,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15540,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15541,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15542,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15543,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15544,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15545,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15546,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15547,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15548,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15549,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15550,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15551,新罐装手雷,,CannedGrenades,,,,,,15007,,,,,,,,,-1,,,,,,,,1,8,,,,,测试,,,100006,#c0aba1d蓄力#n后丢出，#c0aba1d短暂延迟#n后发生爆炸。#r具备#c0aba1d物理特性#n，遇到方块会反弹。,,icon15007,1,,,,0.7,0.5,,200,64,1,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15600,羽蛇神投掷物,,,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
15601,机械boss头部火球,,,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
15602,机械boss左手钻头,,,,,,,,12625,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
15603,机械精英炮兵左手投掷物,,,,,,,,12625,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
15604,机械精英炮兵回血投掷物,,,,,,,,12625,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
15605,机械小怪发射投掷物,,,,,,,,12625,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,9,,,,,,,,,,,,,,,,,,,,,
